EID,PAYMENT_DY,PAYMENT_DVCD,PAYMENT_AMOUNT
E00206,20240401,월급,850
E00181,20240401,월급,791
E00164,20240401,월급,758
E00190,20240401,월급,708
E00209,20240401,월급,716
E00242,20240401,월급,691
E00298,20240401,월급,708
E00487,20240401,월급,716
E00169,20240401,월급,708
E00218,20240401,월급,708
E00294,20240401,월급,716
E00326,20240401,월급,708
E00346,20240401,월급,708
E00411,20240401,월급,708
E00474,20240401,월급,691
E00167,20240401,월급,608
E00210,20240401,월급,633
E00258,20240401,월급,625
E00260,20240401,월급,625
E00278,20240401,월급,600
E00366,20240401,월급,616
E00483,20240401,월급,608
E00170,20240401,월급,616
E00219,20240401,월급,608
E00272,20240401,월급,616
E00392,20240401,월급,600
E00430,20240401,월급,608
E00441,20240401,월급,616
E00457,20240401,월급,600
E00372,20240401,월급,616
E00391,20240401,월급,600
E00199,20240401,월급,558
E00231,20240401,월급,566
E00297,20240401,월급,575
E00305,20240401,월급,558
E00496,20240401,월급,558
E00499,20240401,월급,566
E00176,20240401,월급,583
E00208,20240401,월급,558
E00395,20240401,월급,566
E00423,20240401,월급,591
E00221,20240401,월급,583
E00243,20240401,월급,575
E00314,20240401,월급,566
E00373,20240401,월급,583
E00414,20240401,월급,558
E00432,20240401,월급,566
E00491,20240401,월급,575
E00186,20240401,월급,558
E00268,20240401,월급,566
E00316,20240401,월급,575
E00462,20240401,월급,558
E00497,20240401,월급,566
E00255,20240401,월급,575
E00307,20240401,월급,558
E00467,20240401,월급,575
E00201,20240401,월급,466
E00229,20240401,월급,466
E00320,20240401,월급,466
E00347,20240401,월급,466
E00359,20240401,월급,475
E00325,20240401,월급,475
E00350,20240401,월급,466
E00396,20240401,월급,475
E00443,20240401,월급,466
E00456,20240401,월급,466
E00249,20240401,월급,475
E00301,20240401,월급,475
E00309,20240401,월급,475
E00339,20240401,월급,475
E00362,20240401,월급,475
E00425,20240401,월급,466
E00435,20240401,월급,466
E00449,20240401,월급,466
E00453,20240401,월급,466
E00454,20240401,월급,466
E00259,20240401,월급,475
E00289,20240401,월급,475
E00331,20240401,월급,475
E00368,20240401,월급,475
E00369,20240401,월급,475
E00381,20240401,월급,475
E00397,20240401,월급,475
E00406,20240401,월급,475
E00165,20240401,월급,416
E00171,20240401,월급,416
E00235,20240401,월급,416
E00282,20240401,월급,416
E00337,20240401,월급,416
E00342,20240401,월급,416
E00345,20240401,월급,416
E00434,20240401,월급,416
E00187,20240401,월급,416
E00204,20240401,월급,416
E00233,20240401,월급,416
E00267,20240401,월급,416
E00276,20240401,월급,416
E00318,20240401,월급,416
E00479,20240401,월급,416
E00173,20240401,월급,416
E00182,20240401,월급,416
E00197,20240401,월급,416
E00212,20240401,월급,416
E00216,20240401,월급,416
E00240,20240401,월급,416
E00279,20240401,월급,416
E00356,20240401,월급,416
E00387,20240401,월급,417
E00436,20240401,월급,417
E00442,20240401,월급,417
E00455,20240401,월급,417
E00485,20240401,월급,417
E00220,20240401,월급,417
E00223,20240401,월급,417
E00228,20240401,월급,417
E00237,20240401,월급,417
E00238,20240401,월급,417
E00269,20240401,월급,417
E00277,20240401,월급,417
E00288,20240401,월급,417
E00317,20240401,월급,417
E00374,20240401,월급,417
E00413,20240401,월급,417
E00486,20240401,월급,417
E00163,20240401,월급,417
E00254,20240401,월급,417
E00358,20240401,월급,417
E00424,20240401,월급,425
E00263,20240401,월급,417
E00287,20240401,월급,417
E00341,20240401,월급,417
E00349,20240401,월급,417
E00468,20240401,월급,417
E00469,20240401,월급,417
E00471,20240401,월급,417
E00484,20240401,월급,417
E00183,20240401,월급,375
E00300,20240401,월급,375
E00303,20240401,월급,375
E00315,20240401,월급,375
E00329,20240401,월급,375
E00364,20240401,월급,375
E00382,20240401,월급,375
E00189,20240401,월급,375
E00248,20240401,월급,375
E00250,20240401,월급,375
E00322,20240401,월급,375
E00389,20240401,월급,375
E00438,20240401,월급,375
E00304,20240401,월급,375
E00428,20240401,월급,375
E00206,20240401,성과급,425
E00181,20240401,성과급,395
E00164,20240401,성과급,379
E00190,20240401,성과급,354
E00209,20240401,성과급,358
E00242,20240401,성과급,345
E00298,20240401,성과급,354
E00487,20240401,성과급,358
E00169,20240401,성과급,354
E00218,20240401,성과급,354
E00294,20240401,성과급,358
E00326,20240401,성과급,354
E00346,20240401,성과급,354
E00411,20240401,성과급,354
E00474,20240401,성과급,345
E00167,20240401,성과급,304
E00210,20240401,성과급,316
E00258,20240401,성과급,312
E00260,20240401,성과급,312
E00278,20240401,성과급,300
E00366,20240401,성과급,308
E00483,20240401,성과급,304
E00170,20240401,성과급,308
E00219,20240401,성과급,304
E00272,20240401,성과급,308
E00392,20240401,성과급,300
E00430,20240401,성과급,304
E00441,20240401,성과급,308
E00457,20240401,성과급,300
E00372,20240401,성과급,308
E00391,20240401,성과급,300
E00199,20240401,성과급,279
E00231,20240401,성과급,283
E00297,20240401,성과급,287
E00305,20240401,성과급,279
E00496,20240401,성과급,279
E00499,20240401,성과급,283
E00176,20240401,성과급,291
E00208,20240401,성과급,279
E00395,20240401,성과급,283
E00423,20240401,성과급,295
E00221,20240401,성과급,291
E00243,20240401,성과급,287
E00314,20240401,성과급,283
E00373,20240401,성과급,291
E00414,20240401,성과급,279
E00432,20240401,성과급,283
E00491,20240401,성과급,287
E00186,20240401,성과급,279
E00268,20240401,성과급,283
E00316,20240401,성과급,287
E00462,20240401,성과급,279
E00497,20240401,성과급,283
E00255,20240401,성과급,287
E00307,20240401,성과급,279
E00467,20240401,성과급,287
E00201,20240401,성과급,233
E00229,20240401,성과급,233
E00320,20240401,성과급,233
E00347,20240401,성과급,233
E00359,20240401,성과급,237
E00325,20240401,성과급,237
E00350,20240401,성과급,233
E00396,20240401,성과급,237
E00443,20240401,성과급,233
E00456,20240401,성과급,233
E00249,20240401,성과급,237
E00301,20240401,성과급,237
E00309,20240401,성과급,237
E00339,20240401,성과급,237
E00362,20240401,성과급,237
E00425,20240401,성과급,233
E00435,20240401,성과급,233
E00449,20240401,성과급,233
E00453,20240401,성과급,233
E00454,20240401,성과급,233
E00259,20240401,성과급,237
E00289,20240401,성과급,237
E00331,20240401,성과급,237
E00368,20240401,성과급,237
E00369,20240401,성과급,237
E00381,20240401,성과급,237
E00397,20240401,성과급,237
E00406,20240401,성과급,237
E00165,20240401,성과급,208
E00171,20240401,성과급,208
E00235,20240401,성과급,208
E00282,20240401,성과급,208
E00337,20240401,성과급,208
E00342,20240401,성과급,208
E00345,20240401,성과급,208
E00434,20240401,성과급,208
E00187,20240401,성과급,208
E00204,20240401,성과급,208
E00233,20240401,성과급,208
E00267,20240401,성과급,208
E00276,20240401,성과급,208
E00318,20240401,성과급,208
E00479,20240401,성과급,208
E00173,20240401,성과급,208
E00182,20240401,성과급,208
E00197,20240401,성과급,208
E00212,20240401,성과급,208
E00216,20240401,성과급,208
E00240,20240401,성과급,208
E00279,20240401,성과급,208
E00356,20240401,성과급,208
E00387,20240401,성과급,208
E00436,20240401,성과급,208
E00442,20240401,성과급,208
E00455,20240401,성과급,208
E00485,20240401,성과급,208
E00220,20240401,성과급,208
E00223,20240401,성과급,208
E00228,20240401,성과급,208
E00237,20240401,성과급,208
E00238,20240401,성과급,208
E00269,20240401,성과급,208
E00277,20240401,성과급,208
E00288,20240401,성과급,208
E00317,20240401,성과급,208
E00374,20240401,성과급,208
E00413,20240401,성과급,208
E00486,20240401,성과급,208
E00163,20240401,성과급,208
E00254,20240401,성과급,208
E00358,20240401,성과급,208
E00424,20240401,성과급,213
E00263,20240401,성과급,208
E00287,20240401,성과급,208
E00341,20240401,성과급,208
E00349,20240401,성과급,208
E00468,20240401,성과급,208
E00469,20240401,성과급,208
E00471,20240401,성과급,208
E00484,20240401,성과급,208
E00183,20240401,성과급,188
E00300,20240401,성과급,188
E00303,20240401,성과급,188
E00315,20240401,성과급,188
E00329,20240401,성과급,188
E00364,20240401,성과급,188
E00382,20240401,성과급,188
E00189,20240401,성과급,188
E00248,20240401,성과급,188
E00250,20240401,성과급,188
E00322,20240401,성과급,188
E00389,20240401,성과급,188
E00438,20240401,성과급,188
E00304,20240401,성과급,188
E00428,20240401,성과급,188
E00206,20240401,상여금,300
E00181,20240401,상여금,300
E00164,20240401,상여금,300
E00190,20240401,상여금,300
E00209,20240401,상여금,300
E00242,20240401,상여금,300
E00298,20240401,상여금,300
E00487,20240401,상여금,300
E00169,20240401,상여금,300
E00218,20240401,상여금,300
E00294,20240401,상여금,300
E00326,20240401,상여금,300
E00346,20240401,상여금,300
E00411,20240401,상여금,300
E00474,20240401,상여금,300
E00167,20240401,상여금,300
E00210,20240401,상여금,300
E00258,20240401,상여금,300
E00260,20240401,상여금,300
E00278,20240401,상여금,300
E00366,20240401,상여금,300
E00483,20240401,상여금,300
E00170,20240401,상여금,300
E00219,20240401,상여금,300
E00272,20240401,상여금,300
E00392,20240401,상여금,300
E00430,20240401,상여금,300
E00441,20240401,상여금,300
E00457,20240401,상여금,300
E00372,20240401,상여금,300
E00391,20240401,상여금,300
E00199,20240401,상여금,300
E00231,20240401,상여금,300
E00297,20240401,상여금,300
E00305,20240401,상여금,300
E00496,20240401,상여금,300
E00499,20240401,상여금,300
E00176,20240401,상여금,300
E00208,20240401,상여금,300
E00395,20240401,상여금,300
E00423,20240401,상여금,300
E00221,20240401,상여금,300
E00243,20240401,상여금,300
E00314,20240401,상여금,300
E00373,20240401,상여금,300
E00414,20240401,상여금,300
E00432,20240401,상여금,300
E00491,20240401,상여금,300
E00186,20240401,상여금,300
E00268,20240401,상여금,300
E00316,20240401,상여금,300
E00462,20240401,상여금,300
E00497,20240401,상여금,300
E00255,20240401,상여금,300
E00307,20240401,상여금,300
E00467,20240401,상여금,300
E00201,20240401,상여금,300
E00229,20240401,상여금,300
E00320,20240401,상여금,300
E00347,20240401,상여금,300
E00359,20240401,상여금,300
E00325,20240401,상여금,300
E00350,20240401,상여금,300
E00396,20240401,상여금,300
E00443,20240401,상여금,300
E00456,20240401,상여금,300
E00249,20240401,상여금,300
E00301,20240401,상여금,300
E00309,20240401,상여금,300
E00339,20240401,상여금,300
E00362,20240401,상여금,300
E00425,20240401,상여금,300
E00435,20240401,상여금,300
E00449,20240401,상여금,300
E00453,20240401,상여금,300
E00454,20240401,상여금,300
E00259,20240401,상여금,300
E00289,20240401,상여금,300
E00331,20240401,상여금,300
E00368,20240401,상여금,300
E00369,20240401,상여금,300
E00381,20240401,상여금,300
E00397,20240401,상여금,300
E00406,20240401,상여금,300
E00165,20240401,상여금,300
E00171,20240401,상여금,300
E00235,20240401,상여금,300
E00282,20240401,상여금,300
E00337,20240401,상여금,300
E00342,20240401,상여금,300
E00345,20240401,상여금,300
E00434,20240401,상여금,300
E00187,20240401,상여금,300
E00204,20240401,상여금,300
E00233,20240401,상여금,300
E00267,20240401,상여금,300
E00276,20240401,상여금,300
E00318,20240401,상여금,300
E00479,20240401,상여금,300
E00173,20240401,상여금,300
E00182,20240401,상여금,300
E00197,20240401,상여금,300
E00212,20240401,상여금,300
E00216,20240401,상여금,300
E00240,20240401,상여금,300
E00279,20240401,상여금,300
E00356,20240401,상여금,300
E00387,20240401,상여금,300
E00436,20240401,상여금,300
E00442,20240401,상여금,300
E00455,20240401,상여금,300
E00485,20240401,상여금,300
E00220,20240401,상여금,300
E00223,20240401,상여금,300
E00228,20240401,상여금,300
E00237,20240401,상여금,300
E00238,20240401,상여금,300
E00269,20240401,상여금,300
E00277,20240401,상여금,300
E00288,20240401,상여금,300
E00317,20240401,상여금,300
E00374,20240401,상여금,300
E00413,20240401,상여금,300
E00486,20240401,상여금,300
E00163,20240401,상여금,300
E00254,20240401,상여금,300
E00358,20240401,상여금,300
E00424,20240401,상여금,300
E00263,20240401,상여금,300
E00287,20240401,상여금,300
E00341,20240401,상여금,300
E00349,20240401,상여금,300
E00468,20240401,상여금,300
E00469,20240401,상여금,300
E00471,20240401,상여금,300
E00484,20240401,상여금,300
E00183,20240401,상여금,300
E00300,20240401,상여금,300
E00303,20240401,상여금,300
E00315,20240401,상여금,300
E00329,20240401,상여금,300
E00364,20240401,상여금,300
E00382,20240401,상여금,300
E00189,20240401,상여금,300
E00248,20240401,상여금,300
E00250,20240401,상여금,300
E00322,20240401,상여금,300
E00389,20240401,상여금,300
E00438,20240401,상여금,300
E00304,20240401,상여금,300
E00428,20240401,상여금,300
